x,y,z
Magnus_Table_131023_Aft_seg.xml,1.69,0.18,0.03
Magnus_Table_131113_Mor_seg.xml,1.68,0.18,0.02
Hossein_Table_131024_Eve_seg.xml,1.56,0.22,0.01
Miro_Table_131028_Aft_seg.xml,1.32,0.25,0.01
Carl_Table_131115_Mor_seg.xml,1.06,0.25,0.02
Hossein_Table_131112_Eve_seg.xml,1.85,0.26,0.02
Carl_Table_131101_Mor_seg.xml,0.99,0.25,0.01
Oscar_Table_131028_Mor_seg.xml,0.98,0.21,0.04
Florian_Table_131116_Aft_seg.xml,1.15,0.23,0.05
Miro_Table_131101_Mor_seg.xml,1.28,0.23,0.02
Ali_Table_131029_Aft_seg.xml,1.01,0.16,0.02
Michele_Table_131028_Mor_seg.xml,1.0,0.24,0.03
Miro_Table_131101_Aft_seg.xml,1.3,0.31,0.01
Petter_Table_131029_Mor_seg.xml,1.33,0.33,0.01
David_Table_131109_Mor_seg.xml,1.7,0.46,0.08
Akshaya_Table_131109_Mor_seg.xml,0.99,0.13,0.02
Magnus_Table_131108_Mor_seg.xml,1.69,0.1,0.02
Francisco_Table_131111_Eve_seg.xml,0.77,0.21,0.02
Francisco_Table_131101_Mor_seg.xml,1.4,0.3,0.02
Florian_Table_131115_Mor_seg.xml,1.14,0.32,0.02
Carl_Table_131106_Mor_seg.xml,1.04,0.23,0.03
Ali_Table_131023_Aft_seg.xml,1.56,0.15,0.03
Nils_Table_131116_Aft_seg.xml,1.08,0.14,0.03
Ali_Table_131108_Mor_seg.xml,1.02,0.37,0.02
Yasemin_Table_131101_Eve_seg.xml,1.35,0.41,0.01
Akshaya_Table_131112_Aft_seg.xml,1.65,0.32,0.02
Ali_Table_131107_Mor_seg.xml,2.67,0.14,0.01
Ali_Table_131106_Aft_seg.xml,1.2,0.22,0.03
Akshaya_Table_131101_Aft_seg.xml,1.02,0.17,0.02
Miro_Table_131114_Eve_seg.xml,1.36,0.25,0.01
Marina_Table_131101_Mor_seg.xml,1.66,0.36,0.02
Magnus_Table_131101_Aft_seg.xml,1.7,0.19,0.02
Akshaya_Table_131023_Aft_seg.xml,1.03,0.27,0.04
Petter_Table_131116_Aft_seg.xml,1.32,0.23,0.01
Carl_Table_131023_Aft_seg.xml,0.98,0.23,0.03
Hossein_Table_131023_Mor_seg.xml,2.08,0.11,0.02
Petter_Table_131107_Mor_seg.xml,1.41,0.41,0.02
Michele_Table_131116_Aft_seg.xml,1.12,0.13,0.03
Yuquan_Table_131107_Mor_seg.xml,1.05,0.3,0.01
Kaiyu_Table_131029_Mor_seg.xml,1.17,0.32,0.02
Rasmus_Table_131101_Aft_seg.xml,0.92,0.12,0.02
Nils_Table_131101_Aft_seg.xml,1.02,0.12,0.02
Nils_Table_131112_Eve_seg.xml,1.15,0.12,0.02
Rares_Table_131029_Aft_seg.xml,1.31,0.38,0.02
Florian_Table_131101_Aft_seg.xml,1.06,0.44,0.01
Yuquan_Table_131023_Mor_seg.xml,1.08,0.27,0.02
Magnus_Table_131024_Aft_seg.xml,1.74,0.16,0.02
Nils_Table_131101_Eve_seg.xml,1.04,0.25,0.02
Florian_Table_131101_Eve_seg.xml,1.09,0.31,0.02
Miro_Table_131101_Eve_seg.xml,0.16,0.25,0.0
Nils_Table_131024_Aft_seg.xml,0.9,0.12,0.01
Rasmus_Table_131030_Aft_seg.xml,0.94,0.13,0.02
Marina_Table_131029_Aft_seg.xml,1.65,0.3,0.03
Magnus_Table_131107_Mor_seg.xml,1.66,0.19,0.01
Miro_Table_131028_Mor_seg.xml,1.31,0.26,0.01
Yuquan_Table_131114_Eve_seg.xml,1.04,0.26,0.01
Rasmus_Table_131029_Aft_seg.xml,0.95,0.09,0.02
Francisco_Table_131107_Mor_seg.xml,1.36,0.38,0.01
Ali_Table_131028_Mor_seg.xml,2.2,0.21,0.01
Ali_Table_131024_Aft_seg.xml,0.9,0.17,0.03
Magnus_Table_131106_Aft_seg.xml,2.26,0.23,0.05
Marina_Table_131028_Aft_seg.xml,1.64,0.31,0.02
Hossein_Table_131029_Mor_seg.xml,1.46,0.24,0.03
Oscar_Table_131109_Aft_seg.xml,1.05,0.55,0.01
Miro_Table_131112_Aft_seg.xml,1.33,0.29,0.01
Oscar_Table_131028_Aft_seg.xml,1.27,0.27,0.02
Oscar_Table_131116_Aft_seg.xml,1.09,0.56,0.03
Magnus_Table_131023_Eve_seg.xml,1.67,0.15,0.02
Magnus_Table_131111_Aft_seg.xml,1.66,0.17,0.02
Oscar_Table_131023_Mor_seg.xml,1.1,0.27,0.03
Hossein_Table_131029_Aft_seg.xml,1.45,0.23,0.04
Magnus_Table_131106_Mor_seg.xml,1.66,0.18,0.02
Marina_Table_131101_Aft_seg.xml,1.67,0.36,0.02
Michele_Table_131023_Aft_seg.xml,1.42,0.15,0.02
Ali_Table_131114_Eve_seg.xml,1.04,0.21,0.02
Oscar_Table_131101_Aft_seg.xml,1.04,0.32,0.02
Yuquan_Table_131106_Aft_seg.xml,1.07,0.43,0.02
Rasmus_Table_131023_Aft_seg.xml,0.95,0.09,0.02
Ali_Table_131023_Eve_seg.xml,1.57,0.15,0.02
Ali_Table_131029_Mor_seg.xml,1.03,0.17,0.03
Marina_Table_131113_Mor_seg.xml,1.7,0.23,0.02
Rasmus_Table_131023_Mor_seg.xml,0.95,0.08,0.02
Magnus_Table_131024_Mor_seg.xml,1.73,0.18,0.01
Michele_Table_131029_Aft_seg.xml,1.18,0.14,0.03
Marina_Table_131023_Aft_seg.xml,1.5,0.31,0.02
Akshaya_Table_131107_Mor_seg.xml,0.93,0.12,0.03
Hossein_Table_131106_Aft_seg.xml,0.72,0.3,0.03
Yuquan_Table_131115_Mor_seg.xml,1.04,0.24,0.02
Kaiyu_Table_131028_Aft_seg.xml,1.07,0.39,0.12
Rasmus_Table_131116_Aft_seg.xml,0.94,0.12,0.03
Akshaya_Table_131028_Aft_seg.xml,1.06,0.25,0.03
Hossein_Table_131112_Aft_seg.xml,1.92,0.2,0.03
Carl_Table_131109_Aft_seg.xml,1.4,0.1,0.02
Yuquan_Table_131113_Mor_seg.xml,1.03,0.17,0.02
Nils_Table_131028_Mor_seg.xml,1.11,0.07,0.02
Florian_Table_131101_Mor_seg.xml,1.01,0.36,0.02
Michele_Table_131029_Mor_seg.xml,1.18,0.13,0.01
Akshaya_Table_131024_Aft_seg.xml,0.86,0.22,0.03
Miro_Table_131115_Mor_seg.xml,1.32,0.23,0.02
Francisco_Table_131023_Aft_seg.xml,1.4,0.22,0.03
David_Table_131106_Aft_seg.xml,1.72,0.37,0.09
Akshaya_Table_131029_Aft_seg.xml,0.97,0.19,0.03
Nils_Table_131107_Mor_seg.xml,1.13,0.12,0.02
Hossein_Table_131114_Mor_seg.xml,1.38,0.26,0.02
Miro_Table_131024_Aft_seg.xml,1.32,0.25,-0.0
Yuquan_Table_131024_Mor_seg.xml,0.78,0.21,0.01
Oscar_Table_131023_Aft_seg.xml,1.09,0.32,0.04
Florian_Table_131111_Aft_seg.xml,1.11,0.44,0.03
Florian_Table_131112_Aft_seg.xml,1.13,0.42,0.02
Yuquan_Table_131023_Aft_seg.xml,1.09,0.24,0.03
Magnus_Table_131109_Mor_seg.xml,1.67,0.16,0.03
Akshaya_Table_131116_Aft_seg.xml,0.99,0.17,0.01
Kaiyu_Table_131116_Aft_seg.xml,1.09,0.34,0.01
Florian_Table_131114_Eve_seg.xml,1.14,0.34,0.02
Akshaya_Table_131030_Aft_seg.xml,1.05,0.16,0.02
David_Table_131101_Aft_seg.xml,1.74,0.42,0.06
Rares_Table_131028_Aft_seg.xml,1.28,0.34,0.02
David_Table_131029_Mor_seg.xml,1.47,0.54,0.23
Petter_Table_131024_Aft_seg.xml,1.34,0.26,0.01
Petter_Table_131101_Aft_seg.xml,1.35,0.23,0.01
Marina_Table_131114_Eve_seg.xml,1.46,0.36,0.0
Yasemin_Table_131114_Mor_seg.xml,1.91,0.42,0.02
Rares_Table_131106_Aft_seg.xml,1.38,0.29,0.03
Ali_Table_131111_Eve_seg.xml,1.05,0.14,0.02
Ali_Table_131024_Mor_seg.xml,0.94,0.27,0.01
Florian_Table_131029_Mor_seg.xml,1.08,0.29,0.02
Miro_Table_131106_Aft_seg.xml,1.29,0.23,0.03
Hossein_Table_131113_Mor_seg.xml,1.19,0.22,0.02
Michele_Table_131115_Mor_seg.xml,1.18,0.23,0.02
Hossein_Table_131101_Eve_seg.xml,1.54,0.12,0.03
Petter_Table_131111_Aft_seg.xml,1.43,0.14,-0.0
Yasemin_Table_131101_Mor_seg.xml,0.89,0.23,0.01
Hossein_Table_131111_Aft_seg.xml,1.47,0.21,0.03
Carl_Table_131109_Mor_seg.xml,1.03,0.26,0.0
Miro_Table_131116_Aft_seg.xml,1.29,0.25,0.03
Yasemin_Table_131023_Aft_seg.xml,1.67,0.41,0.01
Carl_Table_131116_Aft-seg.xml,0.91,0.24,0.05
Florian_Table_131106_Aft_seg.xml,1.45,0.21,0.03
Marina_Table_131028_Mor_seg.xml,1.64,0.31,0.03
Francisco_Table_131112_Aft_seg.xml,1.4,0.21,0.02
Magnus_Table_131029_Aft_seg.xml,2.36,0.19,0.02
Miro_Table_131109_Aft_seg.xml,1.29,0.28,0.01
Rares_Table_131101_Aft_seg.xml,1.34,0.35,0.02
Rares_Table_131101_Mor_seg.xml,1.26,0.37,0.03
Hossein_Table_131028_Mor_seg.xml,1.71,0.1,0.06
David_Table_131106_Mor_seg.xml,1.74,0.36,0.08
David_Table_131030_Aft_seg.xml,1.74,0.36,0.02
Miro_Table_131107_Mor_seg.xml,1.29,0.23,-0.01
Miro_Table_131112_Eve_seg.xml,1.29,0.29,0.02
Petter_Table_131023_Aft_seg.xml,1.32,0.07,0.03
Petter_Table_131106_Aft_seg.xml,1.39,0.09,0.02
Petter_Table_131109_Aft_seg.xml,1.35,0.17,0.01
David_Table_131023_Aft_seg.xml,1.75,0.38,0.06
Yuquan_Table_131109_Aft_seg.xml,1.04,0.26,0.01
Akshaya_Table_131106_Mor_seg.xml,0.96,0.12,0.01
Francisco_Table_131028_Mor_seg.xml,1.4,0.35,0.08
Carl_Table_131111_Eve_seg.xml,1.05,0.24,0.02
Ali_Table_131101_Aft_seg.xml,1.0,0.23,0.02
Marina_Table_131111_Aft_seg.xml,1.63,0.23,0.04
Yuquan_Table_131111_Aft_seg.xml,0.98,0.13,0.03
Yasemin_Table_131111_Eve_seg.xml,1.73,0.43,0.02
Rares_Table_131111_Eve_seg.xml,1.3,0.3,0.03
Yasemin_Table_131024_Aft_seg.xml,1.34,0.35,0.01
David_Table_131109_Aft_seg.xml,1.73,0.39,0.01
Carl_Table_131029_Mor_seg.xml,0.97,0.23,0.03
Francisco_Table_131030_Aft_seg.xml,1.0,0.22,0.02
David_Table_131108_Mor_seg.xml,1.74,0.38,0.05
Yasemin_Table_131109_Mor_seg.xml,1.83,0.68,0.0
Petter_Table_131029_Aft_seg.xml,1.33,0.33,0.01
Rasmus_Table_131106_Aft_seg.xml,0.94,0.12,0.02
Nils_Table_131106_Aft_seg.xml,1.09,0.14,0.03
Yasemin_Table_131028_Aft_seg.xml,1.41,0.31,0.01
Kaiyu_Table_131029_Aft_seg.xml,1.14,0.29,0.02
Ali_Table_131101_Mor_seg.xml,1.51,0.15,0.03
Magnus_Table_131112_Eve_seg.xml,1.69,0.15,0.02
Carl_Table_131030_Aft_seg.xml,0.99,0.24,0.02
Miro_Table_131023_Eve_seg.xml,1.29,0.25,0.01
Petter_Table_131023_Mor_seg.xml,1.31,0.07,0.03
Yasemin_Table_131111_Aft_seg.xml,1.9,0.43,0.02
Kaiyu_Table_131024_Aft_seg.xml,1.02,0.34,0.01
Francisco_Table_131115_Mor_seg.xml,1.24,0.14,0.02
Nils_Table_131111_Aft_seg.xml,1.13,0.12,0.01
Marina_Table_131029_Mor_seg.xml,1.6,0.31,0.02
Nils_Table_131109_Aft_seg.xml,1.11,0.27,0.01
Kaiyu_Table_131115_Mor_seg.xml,1.08,0.38,0.02
Carl_Table_131114_Eve_seg.xml,0.92,0.19,0.02
Marina_Table_131023_Mor_seg.xml,1.35,0.36,0.02
Petter_Table_131115_Mor_seg.xml,1.44,0.21,0.02
Akshaya_Table_131023_Mor_seg.xml,1.04,0.32,0.03
Marina_Table_131112_Aft_seg.xml,1.66,0.33,0.02
Hossein_Table_131115_Mor_seg.xml,1.47,0.2,0.08
Carl_Table_131108_Mor_seg.xml,1.07,0.22,0.01
Yuquan_Table_131101_Eve_seg.xml,1.32,0.26,0.01
Florian_Table_131106_Mor_seg.xml,1.11,0.44,0.03
Carl_Table_131028_Aft_seg.xml,0.97,0.17,0.02
Miro_Table_131023_Aft_seg.xml,1.29,0.24,0.02
Magnus_Table_131115_Mor_seg.xml,1.69,0.16,0.02
Ali_Table_131023_Mor_seg.xml,1.56,0.15,0.03
Francisco_Table_131023_Mor_seg.xml,1.39,0.27,0.03
Rasmus_Table_131111_Aft_seg.xml,0.93,0.1,0.02
Yuquan_Table_131029_Mor_seg.xml,1.05,0.23,0.01
Akshaya_Table_131111_Eve_seg.xml,0.96,0.13,0.02
Miro_Table_131023_Mor_seg.xml,1.31,0.24,0.01
Miro_Table_131029_Eve_seg.xml,0.15,0.26,-0.0
Miro_Table_131114_Mor_seg.xml,1.26,0.14,0.01
Francisco_Table_131116_Aft_seg.xml,1.36,0.2,0.03
Yuquan_Table_131024_Aft_seg.xml,0.73,0.2,0.02
David_Table_131116_Aft_seg.xml,1.73,0.33,0.06
Marina_Table_131106_Aft_seg.xml,1.59,0.31,0.03
Carl_Table_131111_Aft_seg.xml,1.08,0.26,0.02
David_Table_131115_Mor_seg.xml,1.11,0.15,0.06
Michele_Table_131114_Eve_seg.xml,1.2,0.22,0.02
Hossein_Table_131107_Mor_seg.xml,1.67,0.27,0.01
Magnus_Table_131028_Mor_seg.xml,1.7,0.16,0.02
Rares_Table_131023_Mor_seg.xml,1.21,0.27,0.02
Kaiyu_Table_131111_Aft_seg.xml,1.06,0.37,0.02
Marina_Table_131111_Eve_seg.xml,1.47,0.38,0.03
Rares_Table_131101_Eve_seg.xml,1.28,0.34,0.02
Yasemin_Table_131109_Aft_seg.xml,1.36,0.44,0.01
Marina_Table_131107_Mor_seg.xml,1.74,0.35,-0.0
Marina_Table_131108_Mor_seg.xml,1.62,0.3,0.01
Hossein_Table_131109_Mor_seg.xml,1.74,0.27,0.03
Florian_Table_131028_Mor_seg.xml,1.03,0.63,0.03
Francisco_Table_131114_Eve_seg.xml,1.37,0.22,0.0
Nils_Table_131113_Mor_seg.xml,1.18,0.14,0.02
Marina_Table_131115_Mor_seg.xml,1.72,0.3,0.02
Hossein_Table_131106_Mor_seg.xml,0.74,0.27,0.02
David_Table_131028_Mor_seg.xml,1.73,0.35,0.01
Hossein_Table_131028_Aft_seg.xml,1.61,0.06,0.03
Rares_Table_131113_Mor_seg.xml,1.32,0.3,0.07
Francisco_Table_131101_Eve_seg.xml,1.43,0.31,0.04
Francisco_Table_131029_Aft_seg.xml,1.44,0.36,0.02
Yuquan_Table_131029_Eve_seg.xml,1.32,0.25,0.01
Nils_Table_131108_Mor_seg.xml,1.2,0.13,0.0
Oscar_Table_131101_Eve_seg.xml,1.25,0.27,0.02
Petter_Table_131030_Aft_seg.xml,1.35,0.16,0.02
Rares_Table_131111_Aft_seg.xml,1.36,0.24,0.02
Marina_Table_131112_Eve_seg.xml,1.56,0.35,0.03
Akshaya_Table_131115_Mor_seg.xml,1.02,0.16,0.02
Miro_Table_131109_Mor_seg.xml,1.29,0.29,0.02
Hossein_Table_131109_Aft_seg.xml,1.58,0.28,0.03
Nils_Table_131114_Mor_seg.xml,1.11,0.1,0.01
Florian_Table_131023_Aft_seg.xml,1.06,0.33,0.01
Yuquan_Table_131101_Mor_seg.xml,1.07,0.27,0.03
Miro_Table_131024_Eve_seg.xml,1.31,0.25,0.01
Ali_Table_131106_Mor_seg.xml,1.31,0.05,0.03
Hossein_Table_131024_Aft_seg.xml,1.5,0.22,0.02
Ali_Table_131101_Eve_seg.xml,1.51,0.23,0.03
Magnus_Table_131101_Eve_seg.xml,1.9,0.27,0.02
Rares_Table_131107_Mor_seg.xml,1.37,0.29,0.02
Yasemin_Table_131113_Mor_seg.xml,1.83,0.44,0.01
David_Table_131101_Mor_seg.xml,1.76,0.41,0.08
Michele_Table_131031_Aft_seg.xml,1.09,0.11,0.02
Petter_Table_131114_Eve_seg.xml,1.46,0.24,0.02
David_Table_131112_Eve_seg.xml,1.73,0.34,0.02
Miro_Table_131029_Mor_seg.xml,1.3,0.25,0.01
Francisco_Table_131024_Aft_seg.xml,0.77,0.1,0.02
Yuquan_Table_131111_Eve_seg.xml,1.01,0.21,0.02
Nils_Table_131109_Mor_seg.xml,1.1,0.18,-0.0
Rasmus_Table_131029_Mor_seg.xml,0.95,0.09,0.02
Hossein_Table_131108_Mor_seg.xml,1.3,0.27,0.01
Rasmus_Table_131028_Aft_seg.xml,0.95,0.07,0.02
Yasemin_Table_131115_Mor_seg.xml,1.65,0.41,-0.01
Magnus_Table_131114_Eve_seg.xml,1.7,0.14,0.03
Magnus_Table_131116_Aft_seg.xml,1.69,0.16,0.02
Yasemin_Table_131029_Mor_seg.xml,1.5,0.34,0.0
Francisco_Table_131109_Aft_seg.xml,1.42,0.18,0.01
Akshaya_Table_131101_Eve_seg.xml,1.03,0.21,0.03
Yasemin_Table_131023_Eve_seg.xml,1.67,0.42,0.01
Akshaya_Table_131024_Mor_seg.xml,1.07,0.2,0.03
Francisco_Table_131108_Mor_seg.xml,0.83,0.19,0.01
Magnus_Table_131111_Eve_seg.xml,1.68,0.17,0.02
Petter_Table_131101_Mor_seg.xml,1.26,0.31,0.02
Magnus_Table_131112_Aft_seg.xml,1.67,0.17,0.02
Nils_Table_131115_Mor_seg.xml,1.13,0.13,0.02
Akshaya_Table_131114_Mor_seg.xml,0.98,0.14,0.02
Yuquan_Table_131028_Aft_seg.xml,1.04,0.24,0.02
Akshaya_Table_131024_Eve_seg.xml,0.91,0.16,0.02
Akshaya_Table_131112_Eve_seg.xml,0.98,0.16,0.02
Yasemin_Table_131116_Aft_seg.xml,1.24,0.41,0.02
Kaiyu_Table_131109_Aft_seg.xml,1.1,0.38,0.01
Ali_Table_131111_Aft_seg.xml,1.05,0.23,0.02
Francisco_Table_131029_Mor_seg.xml,1.42,0.38,0.03
Marina_Table_131116_Aft_seg.xml,1.48,0.41,0.04
Miro_Table_131111_Aft_seg.xml,1.31,0.28,0.02
Francisco_Table_131111_Aft_seg.xml,0.81,0.12,0.02
Carl_Table_131107_Mor_seg.xml,1.03,0.25,0.03
Carl_Table_131028_Mor_seg.xml,1.01,0.26,0.03
Magnus_Table_131101_Mor_seg.xml,1.79,0.31,0.02
Petter_Table_131112_Aft_seg.xml,1.34,0.07,0.02
Hossein_Table_131111_Eve_seg.xml,1.4,0.26,0.03
Akshaya_Table_131108_Mor_seg.xml,0.95,0.14,0.03
Marina_Table_131024_Eve_seg.xml,1.6,0.41,0.02
Yuquan_Table_131029_Aft_seg.xml,1.06,0.22,0.01
David_Table_131112_Aft_seg.xml,1.7,0.32,0.06
Yasemin_Table_131106_Aft_seg.xml,1.73,0.27,0.01
Yuquan_Table_131023_Eve_seg.xml,1.06,0.18,0.01
Hossein_Table_131101_Mor_seg.xml,1.61,0.13,0.02
Marina_Table_131109_Mor_seg.xml,1.6,0.32,0.01
Hossein_Table_131101_Aft_seg.xml,1.46,0.13,0.03
Miro_Table_131106_Mor_seg.xml,1.3,0.21,0.02
Florian_Table_131109_Aft_seg.xml,1.1,0.46,0.01
David_Table_131029_Aft_seg.xml,1.73,0.35,0.04
Rasmus_Table_131114_Eve_seg.xml,0.93,0.1,0.02
Ali_Table_131115_Mor_seg.xml,1.56,0.13,0.03
Nils_Table_131028_Aft_seg.xml,1.16,0.1,0.02
Yasemin_Table_131106_Mor_seg.xml,1.79,0.34,0.03
Marina_Table_131030_Aft_seg.xml,0.49,0.18,0.01
Oscar_Table_131101_Mor_seg.xml,1.01,0.33,0.04
Nils_Table_131024_Mor_seg.xml,1.16,0.12,0.03
Francisco_Table_131028_Aft_seg.xml,1.43,0.34,0.03
Rares_Table_131112_Aft_seg.xml,1.3,0.28,0.02
Nils_Table_131023_Aft_seg.xml,1.06,0.09,0.02
Florian_Table_131030_Aft_seg.xml,1.09,0.34,0.02
Hossein_Table_131023_Aft_seg.xml,2.1,0.06,0.03
Florian_Table_131024_Aft_seg.xml,1.06,0.32,0.02
Rares_Table_131024_Eve_seg.xml,1.06,0.33,0.02
Nils_Table_131023_Mor_seg.xml,1.18,0.13,0.02
Oscar_Table_131024_Aft_seg.xml,1.03,0.23,0.01
Carl_Table_131023_Mor_seg.xml,1.48,0.12,0.02
David_Table_131101_Eve_seg.xml,1.74,0.36,0.08
Marina_Table_131106_Mor_seg.xml,1.59,0.3,-0.01
Carl_Table_131112_Aft_seg.xml,1.01,0.27,0.04
Yuquan_Table_131106_Mor_seg.xml,1.05,0.28,0.02
Nils_Table_131023_Eve_seg.xml,1.11,0.12,0.02
Ali_Table_131116_Aft_seg.xml,1.02,0.32,0.03
Michele_Table_131023_Mor_seg.xml,1.42,0.16,0.01
Kaiyu_Table_131028_Mor_seg.xml,1.07,0.34,0.03
Akshaya_Table_131101_Mor_seg.xml,1.01,0.13,0.02
Rasmus_Table_131024_Aft_seg.xml,0.94,0.07,-0.0
Francisco_Table_131106_Mor_seg.xml,1.42,0.25,0.03
Nils_Table_131101_Mor_seg.xml,1.14,0.1,0.01
Rares_Table_131023_Eve_seg.xml,1.13,0.33,0.02
Francisco_Table_131106_Aft_seg.xml,1.42,0.31,0.03
Nils_Table_131114_Eve_seg.xml,1.2,0.15,0.02
Yasemin_Table_131028_Mor_seg.xml,1.92,0.35,0.02
Magnus_Table_131024_Eve_seg.xml,1.71,0.17,0.03
Hossein_Table_131114_Eve_seg.xml,1.38,0.26,0.02
Miro_Table_131111_Eve_seg.xml,1.32,0.28,0.01
Magnus_Table_131109_Aft_seg.xml,1.66,0.16,0.02
Rares_Table_131024_Mor_seg.xml,1.23,0.32,0.02
Carl_Table_131106_Aft_seg.xml,1.04,0.27,0.03
Francisco_Table_131023_Eve_seg.xml,1.39,0.28,0.02
Magnus_Table_131028_Aft_seg.xml,1.7,0.17,0.02
Nils_Table_131111_Eve_seg.xml,1.19,0.08,-0.0
Michele_Table_131028_Aft_seg.xml,1.02,0.26,0.02
Florian_Table_131111_Eve_seg.xml,1.11,0.44,0.03
Magnus_Table_131029_Mor_seg.xml,2.22,0.19,0.02
Ali_Table_131112_Aft_seg.xml,1.05,0.15,0.03
Rasmus_Table_131101_Eve_seg.xml,0.94,0.08,0.02
Nils_Table_131106_Mor_seg.xml,1.48,0.04,0.02
Kaiyu_Table_131101_Aft_seg.xml,1.07,0.37,0.02
Akshaya_Table_131023_Eve_seg.xml,1.07,0.23,0.04
Carl_Table_131101_Eve_seg.xml,1.43,0.1,0.03
Carl_Table_131101_Aft_seg.xml,1.44,0.1,0.02
Yuquan_Table_131109_Mor_seg.xml,0.96,0.43,0.02
Hossein_Table_131116_Aft_seg.xml,0.89,0.16,0.04
Florian_Table_131107_Mor_seg.xml,1.1,0.44,0.01
David_Table_131111_Aft_seg.xml,1.05,0.2,0.04
David_Table_131024_Aft_seg.xml,0.95,0.36,0.03
Akshaya_Table_131106_Aft_seg.xml,0.93,0.13,0.03
Kaiyu_Table_131030_Aft_seg.xml,1.03,0.34,0.02
Akshaya_Table_131109_Aft_seg.xml,0.97,0.13,0.04
Ali_Table_131109_Aft_seg.xml,1.06,0.32,0.01
David_Table_131107_Mor_seg.xml,1.17,0.34,0.08
Akshaya_Table_131029_Mor_seg.xml,1.0,0.17,0.03
Yasemin_Table_131101_Aft_seg.xml,1.02,0.26,0.01
Marina_Table_131024_Aft_seg.xml,1.67,0.43,0.02
Yasemin_Table_131024_Mor_seg.xml,1.34,0.37,0.01
Oscar_Table_131030_Aft_seg.xml,1.03,0.31,0.02
Yuquan_Table_131114_Mor_seg.xml,1.04,0.15,0.02
Magnus_Table_131023_Mor_seg.xml,1.68,0.16,0.02
Ali_Table_131024_Eve_seg.xml,0.91,0.27,0.02
Rares_Table_131112_Eve_seg.xml,1.37,0.33,0.02
David_Table_131111_Eve_seg.xml,1.74,0.31,0.03
